id	child_id	statement	text
713	710	Rep. Joe Barton (R-TX) thinks that the US government should apologize to British Petroleum for asking the company to create a trust fund of less than one year's profits to restore the Gulf ecosystem from the oil spill they caused.	British Petroleum's 2010 profits were on track to be double their 2009 profits, or $28 billion
713	711	Rep. Joe Barton (R-TX) thinks that the US government should apologize to British Petroleum for asking the company to create a trust fund of less than one year's profits to restore the Gulf ecosystem from the oil spill they caused.	British Petroleum's profits for 2009 were $14 billion.
713	712	Rep. Joe Barton (R-TX) thinks that the US government should apologize to British Petroleum for asking the company to create a trust fund of less than one year's profits to restore the Gulf ecosystem from the oil spill they caused.	British Petroleum's profits for 2008, 2007, and 2006 were $25.6 billion, $18.4 billion, and $22.2 billion, respectively.
659	646	The cause of the US civil war was abolition of slavery	The Constitution of the Confederate States of America explicitly provided that no law would be passed to deny or impair property in slaves
659	658	The cause of the US civil war was abolition of slavery	The Constitution of the Confederate States of America explicitly provided that any state added to the Confederacy would be a slave-state
642	637	The slave-holding states explicitly and solely relied upon their fear of the abolition of slavery as justification for their secession	The South Carolina declaration of secession relied explicitly and solely upon the abolition of slavery as its cause for secession
642	638	The slave-holding states explicitly and solely relied upon their fear of the abolition of slavery as justification for their secession	Texas declaration of secession relied explicitly and solely upon the abolition of slavery as its cause for secession
642	640	The slave-holding states explicitly and solely relied upon their fear of the abolition of slavery as justification for their secession	The Georgia declaration of secession relied explicitly and solely upon the abolition of slavery as its cause for secession
642	641	The slave-holding states explicitly and solely relied upon their fear of the abolition of slavery as justification for their secession	The Mississippi declaration of secession relied explicitly and solely upon the abolition of slavery as its cause for secession
639	637	The slave-holding states explicitly and solely relied upon their fear of the abolition of slavery as justification for their secession	The South Carolina declaration of secession relied explicitly and solely upon the abolition of slavery as its cause for secession
639	638	The slave-holding states explicitly and solely relied upon their fear of the abolition of slavery as justification for their secession	Texas declaration of secession relied explicitly and solely upon the abolition of slavery as its cause for secession
593	591	JFK is responsible for his own death	JFK requested that no agents ride on the back of his car the day he was assassinated
593	592	JFK is responsible for his own death	JFK requested that his bullet-proof glass bubble be removed the day of his assassination
542	540	The US Civil War was not fought to end slavery	Southern states were allowed to maintain the status quo of slavery
542	541	The US Civil War was not fought to end slavery	Only newly created states would not be allowed to have slavery
539	537	The US Civil War was a mistake because other countries did not have civil wars to end slavery	The US Civil War was not fought to end slavery
539	538	The US Civil War was a mistake because other countries did not have civil wars to end slavery	The US Civil War was fought to return the seceded confederate territory to the Union
521	519	There is no wall between church and state	"Mainstream scholars disagree, sometimes vehemently. Randall Balmer, a professor of American religious history at Barnard College and writer of the documentary “Crusade: The Life of Billy Graham,” told me: “David Barton has been out there spreading this lie, frankly, that the founders intended America to be a Christian nation. He’s been very effective. But the logic is utterly screwy. He says the phrase ‘separation of church and state’ is not in the Constitution. He’s right about that. But to make that argument work you would have to argue that the phrase is not an accurate summation of the First Amendment. And Thomas Jefferson, who penned it, thought it was.”" How Christian Were the Founders? - NYTimes.com
